ID,NameProduct,Price,StrPrice,Type,Title,Description,Details1,Details2,Details3,Details4,Details5,Details6,Details7,Details8,Details9,Details10
11,God of War Ragnarök – Jötnar Edition,9999,"9,999",Box Set,Game,"The God of War Ragnarök Jötnar Edition is a premium selection of items designed with care by our team here at Santa Monica Studio to be a collector’s set worthy of our amazing fans. You’ve seen it unboxed in the video above, but we’ll also run you through its contents here.",God of War Ragnarök – Jötnar Edition includes,Printed voucher code for the full God of War Ragnarök game on PlayStation 4 and PlayStation 5 consoles.,7-Inch Vinyl Record with music by Bear McCreary – This includes two tracks from composer Bear McCreary.,"The Falcon, Bear, and Wolf Pin Set – Representing Faye, Kratos, and Atreus respectively, this pin set symbolizes our heroes’ family.","The Legendary Draupnir Ring – A ring from Norse Mythology, the Legendary Draupnir Ring comes in a red cloth bag.",Brok’s Dice Set – This dice set comes with a metallic silver finish with blue detailing. The dice bag features the Huldra Brothers’ brand.,Yggdrasil Cloth Map – This cloth map shows each of the Nine Realms within the branches and roots of Yggdrasil.,A Steelbook Display Case (no game disc included),2” Vanir Twins Carvings,16” Mjölnir Replica
12,ARKNIGHTS | FOOD-THEMED PLUSHIE SET | THANK-YOU CELEBRATION 2022,1719,"1,719",Merchandise,Doll,"This adorable food-themed plushie set features Ceobe with a muffin, her favorite food. Bring this adorable companion on trips or to show off to your friends.",Product Details:,Type: Ceobe,Size: 30x16x21cm / 11.8x6.3x8.3in,"Material: Polyester Fibers, Cotton Filling",,,,,,
13,ARKNIGHTS | PENGUIN LOGISTICS PLUSHIE,769,769,Merchandise,Doll,PENGUIN LOGISTICS Doll,Product Details:,Type: Exusiai,Size: Sitting Height 15 cm / 5.9 in,Material: Polyester,,,,,,
14,ARKNIGHTS | BITEY PLUSHIE | 1.5 ANNIV,1219,"1,219",Merchandise,Doll,"Bitey, the Ink Spirit named by the painter herself from the event - Who Is Real. Take it home with you now!",Product Details:,Type: Bitey,Size: 23.5x18x14.5 cm / 9.3x7.1x5.7 in,"Material: Polyester Fibers, Cotton Filling",,,,,,
15,ARKNIGHTS | DRESS-UP PLUSHIE | 2.5 ANNIV | Ling,1719,"1,719",Merchandise,Doll,"Ling come to life in adorable plush form. Now, you can decide how they dress up.",Product Details:,Type: Ling,Size: 16×32cm / 6.3×12.6in,"Material: Polyester Fibers, Cotton Filling",,,,,,
16,ARKNIGHTS | DRESS-UP PLUSHIE | 2.5 ANNIV | Nian,1719,"1,719",Merchandise,Doll,"Nian come to life in adorable plush form. Now, you can decide how they dress up.",Product Details:,Type: Nian,Size: 16×32cm / 6.3×12.6in,"Material: Polyester Fibers, Cotton Filling",,,,,,
17,ARKNIGHTS | DRESS-UP PLUSHIE | 2.5 ANNIV | Dusk,1719,"1,719",Merchandise,Doll,"Dusk come to life in adorable plush form. Now, you can decide how they dress up.",Product Details:,Type: Dusk,Size: 16×32cm / 6.3×12.6in,"Material: Polyester Fibers, Cotton Filling",,,,,,
18,ARKNIGHTS | CHIBI CHARACTERS CUP | 2.5 ANNIV,689,689,Merchandise,Glass,This cup features our 2.5 Anniversary characters. Take them along on your next adventure.,Product Details:,Type: Chibi Characters Mug,"Size: 9.8×8.8cm / 3.9×3.5in, 450ml / 15.2oz",Material: Glass,,,,,,
19,ARKNIGHTS | CHIBI CHARACTERS MUG AND COASTER | 1.5 ANNIV,1449,"1,449",Merchandise,Glass,"This product comes with two items, a chibi characters mug and a heat-sensitive coaster. From the event - Who Is Real, the color on the center section of the coaster can be turned from black to white with hot water poured on it. (check the GIF from the displayed pictures) The heat-sensitive coaster is HAND WASH ONLY and NOT microwave/dishwasher safe. The mug is microwave/dishwasher safe.",Product Details:,Type: Who Is Real,"Size: Mug: 8.5x9 cm / 3.3x3.5 in, Coaster: 10x10 cm / 3.9x3.9 in","Material: Porcelain, Acrylic",,,,,,
20,ARKNIGHTS | DIM MAK COLLECTION | BASEBALL HAT,1339,"1,339",Merchandise,Etc.,"The official Dim Mak x Arknights Collaboration. Dim Mak started off as a record label in very DIY fashion, by any means necessary. The Essential apparel, made by Dim Mak Collection, is an ode to the history of our movement since 1996. Always keep the Essentials with you. Now collaborating with Arknights, the Baseball Hat features: Traditional styled fit. ,",Product Details:,Fabric: 100% Cotton,,,,,,,,
